question,answer,category,source_name,source_url,verified_by,verified_at,review_status,published,tags,notes
Chi phí triển khai FPTU Student Guide là bao nhiêu?,Chi phí triển khai ban đầu gần như bằng 0 nhờ sử dụng các free tier hiện có và công sức thu thập dữ liệu thực địa của nhóm.,campus_life,Report FPTU_Student_Guide.pdf,,,,draft,false,"cost, project",
Phòng 103 ở tầng nào?,"Phòng 103 nằm ở Tầng 1 tòa nhà Delta, gần khu vực sảnh chính và phòng 111.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 1",
Hướng dẫn thi cử có những nội dung gì?,"Luồng Hướng dẫn thi cử cung cấp các quy chế phòng thi, quy định mang tài liệu, cách tính điểm và quy định thi lại.",exam_guide,Mô tả website nhà trường,,,,draft,false,"exam, guide",
Hình ảnh trong phần hướng dẫn website có ý nghĩa gì?,"Hình ảnh mang tính chất minh họa, được edit sẵn có mũi tên đánh dấu chức năng để sinh viên dễ dàng làm theo.",learning_tools,Mô tả website nhà trường,,,,draft,false,"guide, image",
Dữ liệu 3D Mapping lấy từ đâu?,"Dữ liệu bản đồ được chính sinh viên (team Triple N 01) thu thập thực địa với độ tin cậy cao, không phụ thuộc bên ngoài.",campus_life,Report FPTU_Student_Guide.pdf,,,,draft,false,"map, data",
Phòng 440 nằm ở đâu?,"Phòng 440 nằm ở tận cùng hành lang Tầng 4 tòa nhà Delta, đối diện dãy C409.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 4",
Công nghệ sử dụng cho ứng dụng này là gì?,"Dự án sử dụng công nghệ 3D mapping, FastAPI và định tuyến đa tầng để tìm đường trong tòa Delta.",campus_life,Report FPTU_Student_Guide.pdf,,,,draft,false,"tech, project",
Có thể tìm phòng 227 ở đâu?,"Phòng 227 nằm ở Tầng 2, gần khu vực cầu thang.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 2",
Chức năng định tuyến của bản đồ có hỗ trợ đa tầng không?,"Có, bản đồ sử dụng thuật toán định tuyến đa tầng giúp bạn tìm đường từ tầng này sang tầng khác dễ dàng qua cầu thang.",campus_life,Report FPTU_Student_Guide.pdf,,,,draft,false,"map, routing",
EduNext dùng để làm gì?,"EduNext là nền tảng học tập trên lớp, nơi sinh viên xem tài liệu theo slot và thực hiện thi những bài lab mà giáo viên giao.",learning_tools,Mô tả website nhà trường,,,,draft,false,"edunext, peer review",
Điều kiện để pass môn trên Coursera là gì?,Bạn bắt buộc phải hoàn thành 100% video bài giảng và vượt qua tất cả các bài test mới được tính điểm pass cho khóa học Coursera.,learning_tools,Mô tả website nhà trường,,,,draft,false,"coursera, pass",
Nếu điểm môn học lần 1 của mình là 6.0 thì có được thi lại để cải thiện không?,"Được phép. Sinh viên được thi lại lần 2 và tính kết quả lần 2 với bài thi FE, không có quy định điểm cao hơn 4.0 thì cấm thi lại.",exam_guide,Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, resit",
Phòng 105 nằm ở đâu?,"Phòng 105 nằm ở Tầng 1 tòa nhà Delta, kế bên Nhà vệ sinh Nữ.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 1",
Làm sao để tìm phòng 111?,"Phòng 111 nằm ở Tầng 1, đối diện dãy 103 và gần khu vực cầu thang.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 1",
Phòng C202 ở tầng mấy?,"Phòng C202 nằm ở Tầng 2, thuộc dãy phòng Lab thực hành.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 2",
Chỉ đường đến phòng 211?,"Phòng 211 nằm ở Tầng 2 tòa Delta, đối diện với khu vực phòng C201 và C202.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 2",
Phòng C302 nằm ở đâu?,"Phòng C302 là phòng học nằm ở Tầng 3, kế bên phòng C303 và đối diện dãy 312.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 3",
Đường đi đến phòng 313?,"Phòng 313 nằm ở Tầng 3, khu vực hành lang gần cầu thang bộ.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 3",
Phòng C402 ở vị trí nào?,"Phòng C402 nằm ở Tầng 4, là một trong các phòng học thuộc dãy trung tâm.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 4",
Đường đến phòng 411?,"Phòng 411 nằm ở Tầng 4, ngay góc hành lang đối diện với dãy C401.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 4",
Tôi có thể xem Attendance Report ở mục nào trên FAP?,"Bạn đăng nhập FAP, vào mục Academic Information và chọn 'Attendance Report' để xem tỷ lệ điểm danh và vắng mặt.",learning_tools,Mô tả website nhà trường,,,,draft,false,"fap, attendance",
Ứng dụng FPTU Student Guide có thể mở rộng cho các trường khác không?,"Có, với kiến trúc đa cơ sở được thiết kế từ đầu, dự án có khả năng mở rộng sang toàn hệ thống FPT và các trường đại học khác.",campus_life,Report FPTU_Student_Guide.pdf,,,,draft,false,"project, scalability",
Làm thế nào để đăng nhập vào hệ thống Coursera của trường?,Bạn phải sử dụng tài khoản email có đuôi đăng ký với trường để đăng nhập và liên kết tài khoản Coursera.,learning_tools,Mô tả website nhà trường,,,,draft,false,"coursera, login",
Khu vực phòng Kỹ thuật tầng 1 nằm ở đâu?,"Phòng Kỹ thuật tầng 1 nằm khuất sau Thư viện, khu vực hạn chế sinh viên ra vào.",admin_services,MAPPING DELTA.xlsx,,,,draft,false,"map, floor 1, technical",
Làm sao để biết môn học nào thi PE hay FE?,Bạn có thể kiểm tra định dạng thi của từng môn trong đề cương chi tiết (Syllabus) trên FAP hoặc xem lịch thi (Exam Schedule).,exam_guide,Mô tả website nhà trường,,,,draft,false,"exam, pe, fe",
Phòng 339 nằm ở đâu?,"Phòng 339 nằm ở Tầng 3, phía cuối dãy trung tâm đối diện với C309.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 3",
Giao diện hướng dẫn website được thiết kế như thế nào?,Giao diện có các thẻ (card) đại diện cho từng website. Khi click vào sẽ hiển thị nhóm chức năng kèm văn bản và hình ảnh minh họa có đánh dấu mũi tên.,learning_tools,Mô tả website nhà trường,,,,draft,false,"ui, website guide",
Nếu tôi phát hiện dữ liệu bản đồ bị sai thì làm sao?,Hệ thống được thiết kế để cho phép các Content Editor chỉnh sửa file CSV. Bạn có thể báo cáo để team cập nhật dữ liệu thực địa.,campus_life,README.md,,,,draft,false,"feedback, map data",
Thi FE cần chú ý điều gì nhất?,"Thi FE sử dụng phần mềm USB vậy nên phải chú ý hướng dẫn trước khi thi. Bạn bắt buộc phải nhớ các thao tác khi thi, đồng thời mang theo thẻ sinh viên hoặc căn cước.",exam_guide,Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, fe, eos",
Dãy phòng 108 gồm những phòng nào?,"Tại Tầng 1, dãy 108 được chia nhỏ thành các phòng 108A, 108B và 108C nằm kế tiếp nhau.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 1",
Có được sử dụng tài liệu trong phòng thi không?,Điều này phụ thuộc vào quy chế của từng môn (Open book hoặc Closed book). Giám thị sẽ kiểm tra và thu giữ các tài liệu không được phép.,exam_guide,Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, materials",
Phòng 222 ở tầng mấy?,"Phòng 222 nằm ở Tầng 2, ngay khu vực hành lang rẽ từ cầu thang lên.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 2",
Dự án này thu thập dữ liệu bằng cách nào?,"Dữ liệu bản đồ được team Triple N 01 đi thực địa, đo đạc và thu thập thủ công để đảm bảo độ chính xác cao nhất cho sinh viên.",campus_life,Report FPTU_Student_Guide.pdf,,,,draft,false,"project, data collection",
Tôi có thể dùng FPTU Student Guide để thay thế FAP không?,"Không, ứng dụng này chỉ đóng vai trò hướng dẫn (Guide) và tìm đường, không lưu trữ dữ liệu học thuật cá nhân. Bạn vẫn phải dùng FAP để thao tác.",learning_tools,Report FPTU_Student_Guide.pdf,,,,draft,false,"app, features",
