title,slug,category,excerpt,content_md,source_name,source_url,verified_by,verified_at,review_status,published,tags,order_index,notes
Quy trình xin phúc khảo điểm,quy-trinh-phuc-khao,exam_guide,Các bước thực hiện khi thấy điểm thi có sai sót.,Sinh viên điền form trực tuyến trên FAP kể từ khi công bố điểm.,Mô tả website nhà trường,,,,draft,false,"exam, grade",18,
Làm gì khi quên thẻ sinh viên trước giờ thi?,quen-the-sinh-vien,exam_guide,Cách xử lý sự cố quên giấy tờ.,"Lên phòng Dịch vụ sinh viên xin cấp giấy xác nhận tạm thời, mang theo CCCD để đối chiếu.",Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, id",19,
Hướng dẫn tìm phòng Lab Tầng 3,tim-phong-lab-tang-3,campus_life,Chỉ đường tới dãy C30x.,"Sau khi lên cầu thang Tầng 3, rẽ phải để vào dãy C. Các phòng Lab thực hành từ C301 đến C310.",MAPPING DELTA.xlsx,,,,draft,false,"map, floor 3, lab",20,
Cách đăng ký học lại (Retake),dang-ky-hoc-lai,learning_tools,Thao tác trên FAP khi tạch môn.,Truy cập FAP -> Đăng ký học lại. Học phí sẽ được trừ trực tiếp qua ví FPT.,Mô tả website nhà trường,,,,draft,false,"fap, retake",23,
Tìm khu vực nhà vệ sinh trong tòa Delta,tim-nha-ve-sinh,campus_life,Vị trí NVS tại các tầng.,Mỗi tầng đều có NVS Nam/Nữ ở giữa hành lang. Sử dụng app 3D map để được điều hướng chi tiết.,MAPPING DELTA.xlsx,,,,draft,false,"map, toilet",24,
Kinh nghiệm làm bài thi Thực hành (PE) đạt điểm tối đa,kinh-nghiem-thi-pe,exam_guide,Chia sẻ từ sinh viên đạt điểm 10 PE.,"Đọc kỹ đề, phân tích độ phức tạp thuật toán, viết code rõ ràng và luôn tự test các corner case trước khi nộp.",Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, tips, pe",25,
Chi tiết luật thi lại (Resit) tại FPTU,luat-thi-lai-chi-tiet,exam_guide,Quy định cải thiện điểm.,Mọi sinh viên đều có quyền đăng ký thi lại lần 2. Hệ thống sẽ ghi nhận điểm của lần thi thứ 2. Không giới hạn mốc điểm tối đa khi đăng ký thi lại.,Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, resit",27,
Khám phá khu vực Thư viện Tầng 1,kham-pha-thu-vien-t1,campus_life,Tiện ích học tập trung tâm.,"Thư viện Tầng 1 có không gian rộng, trang bị bàn tự học, điều hòa và hệ thống máy tra cứu sách điện tử.",MAPPING DELTA.xlsx,,,,draft,false,"library, floor 1",28,
Hướng dẫn tìm phòng 105 và dãy 108,tim-phong-105-108,campus_life,Định vị các phòng học góc Tầng 1.,"Phòng 105 nằm sát khu vệ sinh nữ. Dãy 108 (A, B, C) nằm đối diện khu vực phòng Startup.",MAPPING DELTA.xlsx,,,,draft,false,"map, floor 1",29,
Hướng dẫn tìm dãy phòng Lab C20x,tim-phong-lab-c20x,campus_life,Tìm đường đến các phòng thực hành Tầng 2.,Dãy C201 đến C210 nằm trọn trong khu trung tâm Tầng 2.,MAPPING DELTA.xlsx,,,,draft,false,"map, floor 2, lab",30,
Tìm hiểu về phòng 211 đến 227,tim-phong-211-227,campus_life,"Các phòng học lab clb, lab các thầy cô Tầng 2.","Nằm đối diện dãy trung tâm, khu vực này trải dài từ cầu thang giữa đến cuối hành lang.",MAPPING DELTA.xlsx,,,,draft,false,"map, floor 2",31,
Hướng dẫn tìm dãy C302 và C303,tim-phong-c302-c303,campus_life,Phòng thực hành Tầng 3.,C302 và C303 nằm liền kề nhau bên trái khu vực Lab Tầng 3. Sử dụng bản đồ 3D để xem mô phỏng đường đi từ cầu thang.,MAPPING DELTA.xlsx,,,,draft,false,"map, floor 3, lab",32,
Cách đi đến phòng 313 và 339,tim-phong-313-339,campus_life,Hai đầu hành lang Tầng 3.,"313 nằm ngay gần khu vực cầu thang chính, trong khi 339 nằm ở cạnh nhà vệ sinh nữ cùng dãy.",MAPPING DELTA.xlsx,,,,draft,false,"map, floor 3",33,
Sơ đồ dãy phòng C40x,so-do-lab-c40x,campus_life,Phân bổ phòng nhạc cụ Tầng 4.,Tầng 4 có đầy đủ thiết bị nhạc cụ từ C401 đến C410. Các kỳ thi nhạc thường xuyên được tổ chức tại đây.,MAPPING DELTA.xlsx,,,,draft,false,"map, floor 4, lab",34,
Hướng dẫn tìm phòng 411 và 440,tim-phong-411-440,campus_life,Chi tiết hành lang Tầng 4.,411 là phòng góc ngay đối diện C401. Đi dọc hết hành lang để tìm thấy phòng 440.,MAPPING DELTA.xlsx,,,,draft,false,"map, floor 4",35,
Cách kiểm tra điểm danh trên FAP,kiem-tra-diem-danh,learning_tools,Tránh vi phạm quy chế vắng mặt.,FAP cung cấp mục Attendance Report. Sinh viên vắng quá 20% số buổi sẽ bị cấm thi (FE).,Mô tả website nhà trường,,,,draft,false,"fap, attendance",36,
Cách liên kết tài khoản Coursera,link-tai-khoan-coursera,learning_tools,Đồng bộ dữ liệu học tập.,Sử dụng email sinh viên để đăng nhập Coursera. Đảm bảo join đúng 'FPT University Program' để được miễn phí.,Mô tả website nhà trường,,,,draft,false,"coursera, account",37,
Khắc phục sự cố đăng nhập phần mềm EOS,loi-dang-nhap-eos,exam_guide,Xử lý khi thi FE.,"Nếu gặp sự cố đăng nhập, báo ngay cho cán bộ coi thi. nếu không được sẽ tìm phòng lab IT để hỗ trợ.",Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, fe, eos",38,
Tiềm năng mở rộng của FPTU Student Guide,tiem-nang-du-an,campus_life,Định hướng tương lai của app.,"Dự án được xây dựng với kiến trúc scalable, sẵn sàng tích hợp thêm các tòa nhà khác như Alpha, Beta trong tương lai.",Report FPTU_Student_Guide.pdf,,,,draft,false,"project, future",39,
Hướng dẫn Editor: Validation Data,huong-dan-validate-data,admin_services,Cơ chế duyệt bài của hệ thống.,Chỉ những dòng có review_status=verified và verified_by rõ ràng mới được script python chấp nhận đưa lên hệ thống.,README.md,,,,draft,false,"editor, rules",40,
Những vật dụng cấm mang vào phòng thi,vat-dung-cam-thi,exam_guide,Tránh bị đình chỉ thi đáng tiếc.,"Tuyệt đối không mang điện thoại, smartwatch, tai nghe bluetooth hay tài liệu không được phép vào khu vực chỗ ngồi.",Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, rules",41,
Hướng dẫn nộp bài thi PE,nop-bai-thi-pe,exam_guide,Thao tác nộp source code.,Tuân thủ nghiêm ngặt hướng dẫn đặt tên thư mục và nén file. Chỉ sử dụng phần mềm nộp bài do nhà trường quy định.,Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, pe",42,
Cách Feedback giảng viên trên FAP,xem-feedback-fap,learning_tools,Đọc nhận xét để cải thiện.,"Trong mục Academic Information, bạn có thể làm đánh giá giảng viên dạy bạn kỳ vừa rồi.",Mô tả website nhà trường,,,,draft,false,"fap, feedback",43,
Tìm hiểu về phòng Kỹ thuật tòa Delta,phong-ky-thuat-delta,campus_life,Khu vực vận hành tòa nhà.,"Phòng kỹ thuật đặt ở Tầng 1, đảm bảo những tiện nghi kỹ thuật cho tòa. Sinh viên không phận sự miễn vào.",MAPPING DELTA.xlsx,,,,draft,false,"map, technical",44,
Cách tính điểm tổng kết môn học,tinh-diem-tong-ket,exam_guide,Công thức chung tại FPTU.,"Điểm tổng kết bao gồm: Assignment/Project, Progress Test, PE và FE. Mỗi thành phần có một trọng số % riêng biệt.",Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, grade",45,
Tại sao nên dùng thẻ sinh viên bản cứng?,the-sinh-vien-ban-cung,campus_life,Quan trọng trong mùa thi.,"Dù có app MyFPT, thẻ sinh viên bản cứng vẫn là giấy tờ bắt buộc để giám thị đối chiếu thông tin trong phòng thi.",Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, id",46,
Hướng dẫn Editor: Map Data Constraints,quy-tac-sua-map,admin_services,Lưu ý khi thêm thông tin phòng.,"Tuyệt đối không sửa file delta_floors.json thủ công. Mọi mô tả, giờ mở cửa phải được thêm qua file CSV này.",README.md,,,,draft,false,"editor, map",47,
Trải nghiệm 3D Mapping tìm đường,trai-nghiem-3d-mapping,campus_life,Tính năng nổi bật nhất của app.,"Sử dụng mô hình 3D mapping, thuật toán sẽ vẽ đường đi ngắn nhất từ vị trí hiện tại đến phòng học bạn cần.",Report FPTU_Student_Guide.pdf,,,,draft,false,"app, 3d",48,
Cách tìm nhanh một website trên App,tim-website-tren-app,learning_tools,Giao diện dạng lưới thẻ.,"Vào luồng số 3, hệ thống sẽ hiển thị các website phổ biến dưới dạng thẻ (card). Bạn chỉ cần nhấp vào icon tương ứng.",Mô tả website nhà trường,,,,draft,false,"app, ui, web",49,
Hướng dẫn đóng học phí Retake,dong-tien-retake,admin_services,Thủ tục tài chính.,Học phí học lại/thi lại có thể được thanh toán qua ví FAP. Hệ thống sẽ tự động trừ tiền khi bạn thanh toán thành công trên FAP.,Mô tả website nhà trường,,,,draft,false,"fap, finance, retake",50,
